autor,fecha,tweet_id,texto,texto_tokenizado
Galgadot,2021-12-20T16:22:04Z,1472965536254414800,"Sometimes you just need someone to talk to...
#RedNotice @NetflixFilm @netflix https://t.co/gx7gdgV5Rx",
Galgadot,2021-12-19T16:51:41Z,1472610600790470700,🤍 https://t.co/UjVv6vCuQ3,
Galgadot,2021-12-18T16:25:30Z,1472241622830268400,🖤 https://t.co/230raG6ivL,
Galgadot,2021-12-16T18:17:12Z,147154495872947e4,✌ https://t.co/ORdGLqJkqF,
Galgadot,2021-12-15T17:22:41Z,1471168848980238300,"I'm shocked &amp; incredibly thankful to @drewbarrymore for this amazing surprise!
I'm a little teary eyed cuz of your kind words. You are a true inspiration, always sticking up and showing love and support to other women, I'm such a fan🙏
@allgoodles
@DrewBarrymoreTV  @helloross https://t.co/r3LimBNkXS",
Galgadot,2021-12-11T20:12:17Z,1469761980412186600,"The issue of the third egg... 🥚
#RedNotice 
@TheRock @VancityReynolds @RawsonThurber @NetflixFilm https://t.co/agNwXMVqD8",
Galgadot,2021-12-10T16:18:09Z,1469340669743358e3,🌳💚 https://t.co/mPiXGvF6Dp,
Galgadot,2021-12-06T17:04:38Z,1467902818153635800,🤔 https://t.co/UBvO5ubaxf,
Galgadot,2021-12-04T17:03:05Z,1467177651328753700,Look who joined me on my workout today ❤️😘💪 https://t.co/TqXQespp8k,
Galgadot,2021-12-02T19:45:30Z,1466493748335026200,"Feeling festive? 💫 
Let's rock the holiday season! 🎸✨
#TiffanyandCo #TiffanyFavorites
@TiffanyAndCo https://t.co/Dzv730tssv",
Galgadot,2021-12-01T16:16:55Z,1466078870449242e3,💥🚨💥🚨💥 https://t.co/sj0giQAmcs,
Galgadot,2021-12-01T05:37:17Z,1465917900452204500,"Wow wow…WOW! You guys I can’t tell you how happy, how grateful, how blown away I am by these crazy stats and info. You have made our movie the BIGGEST movie in the HISTORY of @netflixfilm! Your love means the world &amp; never to be taken for granted. Thank YOU ♥️ #RedNotice https://t.co/H4o7QvKbHz",
Galgadot,2021-11-30T19:42:32Z,1465768228051902500,"Affordable medicine for all at your fingertips.  
Try it! @khealth
#KHealthInvestor",
Galgadot,2021-11-30T19:41:26Z,1465767950762262500,"I was so fascinated and intrigued by this amazing easy to use app I just had to find out all about it.
I am happy to say today we are embarking on a new journey with @Khealth, giving easy access to medical care without needing to leave your home.",
Galgadot,2021-11-30T19:40:49Z,1465767792918114300,"A while ago I had the worst headache, it was early in the pandemic and I just didn't want to leave my house. 
A friend recommended @khealth app and within 10 minutes I was chatting with a doctor and getting medical advice. 
It was so easy (it was just a migraine by the way 😎) https://t.co/xH7LqSIbpX",
Galgadot,2021-11-29T19:01:50Z,1465395597012312e3,🚨❤ https://t.co/JmTqBpRQiE,
Galgadot,2021-11-29T18:08:27Z,1465382162564325400,"Check Check! ♟️
Have you met the bishop already? 
Go check her out...
#RedNotice is on @netflix 
@TheRock @VancityReynolds https://t.co/vK2uPRgAB8",
Galgadot,2021-11-27T16:49:49Z,1464637595686744e3,🤍 https://t.co/9dwhU4Q50o,
Galgadot,2021-11-24T16:45:55Z,1463549453307101200,"""She looks like Cleopatra and a graceful swan made love and ended up on the cover of Vogue"" 
well, thank you guys 😁 watch @VancityReynolds , @TheRock  and myself try to describe each other to a forensic sketch artist
#RedNotice
@netflixfilm https://t.co/91cD6kEqrF",
Galgadot,2021-11-22T14:59:10Z,1462797811460808700,😘 https://t.co/eNQjsDoRd2,
Galgadot,2021-11-21T18:29:41Z,1462488400460669e3,"What happens when you cast me with the two funniest men ever? well, I crack up, a lot! 😂🙄😜
#RedNotice bloopers are here!
@theroc @vancityreynolds @RawsonThurber  @netflixfilm @netflix 

https://t.co/XVa1QqNvcb",
Galgadot,2021-11-18T16:46:11Z,1461375193692135400,🖤 https://t.co/5GjkwhRdQi,
Galgadot,2021-11-16T19:24:55Z,1460690361022619600,🌈🌈🌈 https://t.co/frHFmYbpN0,
Galgadot,2021-11-16T19:24:19Z,1460690212414181400,🌈🌈🌈 https://t.co/lzizvJ5wKe,
Galgadot,2021-11-16T19:18:54Z,1460688850221777e3,"GOODLES is HUGE 🌈
I'm so excited to bring you what we have been working on for so long.
GOODLES is a gooder Mac &amp; Cheese - that’s packed with nutrients and super yummy! 🦄
Honestly this is the best tasting mac I've ever had.  
Try it:
https://t.co/t3czhWdvf1
GG, Founding Partner https://t.co/g8MJhdwh4V",
Galgadot,2021-11-16T15:27:41Z,1.4606306617321759e+18,"Amazing news - RED NOTICE is officially the biggest opening weekend in @netflix history and the #1 movie in the world!
Thank u to all of you who watched it, liked it, shared it, I'm so grateful to see all of your wonderful responses from around the world  🙏❤️ 
#RedNotice https://t.co/AV1szPfAAB",
Galgadot,2021-11-15T16:56:19Z,1460290579640864800,I'm out ✌ https://t.co/oXexmffuMr,
Galgadot,2021-11-14T00:49:32Z,1459684889981190100,"This is amazing!!!! What can I say, you guys are the best and the reason why we make these films. So grateful and excited!!! Congratulations @Netflix and to the entire #RedNoticeMovie team ♥️💃🏻
@TheRock @VancityReynolds https://t.co/YXgwRo2xK8",
Galgadot,2021-11-13T05:23:06Z,145939135112081e4,"Don't believe anything these guys tell you... just watch it for yourself 😜
Red Notice is available on Netflix now! 🚨
@TheRock @VancityReynolds @netflix #RedNotice https://t.co/wRZjWPD5mm",
Galgadot,2021-11-13T01:14:20Z,1459328746721353700,"Gotta love a man with a plan... 
 RED NOTICE is out! 🚨
@TheRock @VancityReynolds @netflix @NetflixFilm https://t.co/UXQxLl55SI",
Galgadot,2021-11-12T22:28:18Z,1459286959587831800,"If you ever wondered what our karaoke nights sound like... 💃🕺
@TheRock @VancityReynolds

RED NOTICE out now!

https://t.co/XVgISCnhC8",
